,uniprot_id,Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_first
0,q15544,Q15544,TAF11_HUMAN,reviewed,Transcription initiation factor TFIID subunit 11 (TFIID subunit p30-beta) (Transcription initiation factor TFIID 28 kDa subunit) (TAF(II)28) (TAFII-28) (TAFII28),TAF11 TAF2I PRO2134,Homo sapiens (Human),211,TAF11
1,q13619,Q13619,CUL4A_HUMAN,reviewed,Cullin-4A (CUL-4A),CUL4A,Homo sapiens (Human),759,CUL4A
2,p63104,P63104,1433Z_HUMAN,reviewed,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1),YWHAZ,Homo sapiens (Human),245,YWHAZ
3,p47914,P47914,RL29_HUMAN,reviewed,Large ribosomal subunit protein eL29 (60S ribosomal protein L29) (Cell surface heparin-binding protein HIP),RPL29,Homo sapiens (Human),159,RPL29
4,p51532,P51532,SMCA4_HUMAN,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4 (SMARCA4) (EC 3.6.4.-) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (Transcription activator BRG1),SMARCA4 BAF190A BRG1 SNF2B SNF2L4,Homo sapiens (Human),1647,SMARCA4
5,q8nb78,Q8NB78,KDM1B_HUMAN,reviewed,Lysine-specific histone demethylase 2 (EC 1.14.99.66) (Flavin-containing amine oxidase domain-containing protein 1) (Lysine-specific histone demethylase 1B),KDM1B AOF1 C6orf193 LSD2,Homo sapiens (Human),822,KDM1B
6,q9brx5,Q9BRX5,PSF3_HUMAN,reviewed,DNA replication complex GINS protein PSF3 (GINS complex subunit 3),GINS3 PSF3,Homo sapiens (Human),216,GINS3
7,p61927,P61927,RL37_HUMAN,reviewed,Large ribosomal subunit protein eL37 (60S ribosomal protein L37) (G1.16),RPL37,Homo sapiens (Human),97,RPL37
8,q9brt9,Q9BRT9,SLD5_HUMAN,reviewed,"DNA replication complex GINS protein SLD5 (GINS complex subunit 4) [Cleaved into: DNA replication complex GINS protein SLD5, N-terminally processed]",GINS4 SLD5,Homo sapiens (Human),223,GINS4
9,q9haz2,Q9HAZ2,PRD16_HUMAN,reviewed,Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.367) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1),PRDM16 KIAA1675 MEL1 PFM13,Homo sapiens (Human),1276,PRDM16
10,o75151,O75151,PHF2_HUMAN,reviewed,Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2),PHF2 CENP-35 KIAA0662,Homo sapiens (Human),1096,PHF2
11,p49848,P49848,TAF6_HUMAN,reviewed,Transcription initiation factor TFIID subunit 6 (RNA polymerase II TBP-associated factor subunit E) (Transcription initiation factor TFIID 70 kDa subunit) (TAF(II)70) (TAFII-70) (TAFII70) (Transcription initiation factor TFIID 80 kDa subunit) (TAF(II)80) (TAFII-80) (TAFII80),TAF6 TAF2E TAFII70,Homo sapiens (Human),677,TAF6
12,p40227,P40227,TCPZ_HUMAN,reviewed,T-complex protein 1 subunit zeta (TCP-1-zeta) (EC 3.6.1.-) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (Chaperonin containing T-complex polypeptide 1 subunit 6A) (HTR3) (Tcp20),CCT6A CCT6 CCTZ,Homo sapiens (Human),531,CCT6A
13,q99496,Q99496,RING2_HUMAN,reviewed,E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (Huntingtin-interacting protein 2-interacting protein 3) (HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2),RNF2 BAP1 DING HIPI3 RING1B,Homo sapiens (Human),336,RNF2
14,p28074,P28074,PSB5_HUMAN,reviewed,Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X) (Proteasome subunit beta-5) (beta-5),PSMB5 LMPX MB1 X,Homo sapiens (Human),263,PSMB5
15,p49450,P49450,CENPA_HUMAN,reviewed,Histone H3-like centromeric protein A (Centromere autoantigen A) (Centromere protein A) (CENP-A),CENPA,Homo sapiens (Human),140,CENPA
16,p68431,P68431,H31_HUMAN,reviewed,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Homo sapiens (Human),136,H3C1
